,JD,Body,RA,Dec,Dist,Dist_Sun
956,2276014.370755785,Sun,4.555230555555555,22.003333333333334,1.015,0.0
959,2276034.373494011,Sun,5.932244444444445,23.49752777777778,1.017,0.0
962,2276054.3762322366,Sun,7.310405555555556,22.268805555555556,1.016,0.0
965,2276074.3789704624,Sun,8.644494444444444,18.505944444444445,1.014,0.0
968,2276094.381708688,Sun,9.9155,12.717277777777777,1.01,0.0
971,2276114.384446914,Sun,11.135238888888889,5.573388888888888,1.005,0.0
974,2276134.3871851396,Sun,12.33758888888889,-1.8002777777777779,0.999,0.0
977,2276154.3899233653,Sun,13.566744444444444,-8.160388888888889,0.994,0.0
980,2276174.392661591,Sun,14.863869444444443,-15.491333333333333,0.989,0.0
983,2276194.395399817,Sun,16.250822222222222,-20.689805555555555,0.985,0.0
986,2276214.3981380425,Sun,17.711880555555556,-22.555888888888887,0.983,0.0
989,2276234.4008762683,Sun,19.188452777777776,-21.509722222222223,0.983,0.0
992,2276254.403614494,Sun,20.611869444444444,-17.36947222222222,0.986,0.0
995,2276274.4063527198,Sun,21.947666666666667,-11.450722222222222,0.99,0.0
998,2276294.4090909455,Sun,23.204641666666667,-4.861805555555555,0.995,0.0
1001,2276314.4118291712,Sun,0.4182777777777778,2.7194444444444446,1.0,0.0
1004,2276334.414567397,Sun,1.6331805555555556,10.220416666666667,1.006,0.0
1007,2276354.4173056227,Sun,2.8883916666666667,16.613111111111113,1.011,0.0
1010,2276374.4200438485,Sun,4.204436111111112,21.19,1.015,0.0
1013,2276394.422782074,Sun,5.5730861111111105,23.370305555555557,1.017,0.0
1016,2276414.4255203,Sun,6.955941666666667,22.845333333333333,1.017,0.0
1019,2276434.4282585257,Sun,8.304705555555556,19.700416666666666,1.015,0.0
1022,2276454.4309967514,Sun,9.591844444444446,14.377416666666667,1.011,0.0
1025,2276474.433734977,Sun,10.822236111111112,7.516444444444445,1.007,0.0
1028,2276494.436473203,Sun,12.025005555555556,0.16455555555555554,1.001,0.0
1031,2276514.4392114286,Sun,13.24266111111111,-6.085611111111111,0.995,0.0
1034,2276534.4419496544,Sun,14.518805555555556,-13.079694444444446,0.99,0.0
1037,2276554.44468788,Sun,15.882175,-19.707833333333333,0.986,0.0
1040,2276574.447426106,Sun,17.328022222222224,-22.82,0.984,0.0
1043,2276594.4501643316,Sun,18.807672222222223,-22.96419444444444,0.983,0.0
1046,2276614.4529025573,Sun,20.250330555555557,-18.12025,0.985,0.0
1049,2276634.455640783,Sun,21.60954166666667,-13.70711111111111,0.988,0.0
1052,2276654.458379009,Sun,22.884297222222223,-6.860833333333333,0.993,0.0
1055,2276674.4611172345,Sun,0.10513888888888889,0.68425,0.999,0.0
1058,2276694.4638554603,Sun,1.3154555555555556,8.350944444444444,1.005,0.0
1061,2276714.466593686,Sun,2.5571888888888887,15.101222222222221,1.01,0.0
1064,2276734.4693319118,Sun,3.857066666666667,20.21325,1.014,0.0
1067,2276754.4720701375,Sun,5.214630555555556,23.05888888888889,1.016,0.0
